2015-09-12 00:22:28 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (f4b50246-c592-47d6-8196-dd0a5b6264c1)] -> id: from_filter]
2015-09-12 00:22:29 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:22:29 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (f4b50246-c592-47d6-8196-dd0a5b6264c1)] -> id: to_filter]
2015-09-12 00:22:29 INFO  SearchPage:61 - entering password: Barcelona, Spain 
2015-09-12 00:23:46 INFO  SearchPage:36 - Opening login page
2015-09-12 00:23:50 INFO  SearchTest:33 - Checking that all correct data added successfully
2015-09-12 00:23:50 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (ac5dd1bc-f429-4efc-b3ce-662273a38bb6)] -> id: from_filter]
2015-09-12 00:23:50 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:23:50 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (ac5dd1bc-f429-4efc-b3ce-662273a38bb6)] -> id: to_filter]
2015-09-12 00:23:51 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 00:24:24 INFO  SearchPage:36 - Opening login page
2015-09-12 00:24:27 INFO  SearchTest:33 - Checking that all correct data added successfully
2015-09-12 00:24:28 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (d1f1fc78-abed-4611-9f82-6c6797fac8b9)] -> id: from_filter]
2015-09-12 00:24:28 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:24:28 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (d1f1fc78-abed-4611-9f82-6c6797fac8b9)] -> id: to_filter]
2015-09-12 00:24:28 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 00:24:29 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (d1f1fc78-abed-4611-9f82-6c6797fac8b9)] -> id: search-form__submit-btn]
2015-09-12 00:33:46 INFO  SearchPage:35 - Opening login page
2015-09-12 00:33:49 INFO  sortTest:34 - Checking that all correct data added successfully
2015-09-12 00:36:10 INFO  SearchPage:36 - Opening login page
2015-09-12 00:36:15 INFO  sortTest:34 - Checking that all correct data added successfully
2015-09-12 00:36:15 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (20bbead8-f787-44fa-9a61-93369efe516a)] -> id: from_filter]
2015-09-12 00:36:15 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:36:15 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (20bbead8-f787-44fa-9a61-93369efe516a)] -> id: to_filter]
2015-09-12 00:36:16 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 00:36:16 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (20bbead8-f787-44fa-9a61-93369efe516a)] -> id: search-form__submit-btn]
2015-09-12 00:36:17 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (20bbead8-f787-44fa-9a61-93369efe516a)] -> id: search-form__submit-btn]
2015-09-12 00:37:41 INFO  SearchPage:36 - Opening login page
2015-09-12 00:37:44 INFO  sortTest:34 - Checking that all correct data added successfully
2015-09-12 00:37:45 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (c2116ca3-f0a0-43be-ad06-7dd02d1f7d0e)] -> id: from_filter]
2015-09-12 00:37:45 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:37:45 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (c2116ca3-f0a0-43be-ad06-7dd02d1f7d0e)] -> id: to_filter]
2015-09-12 00:37:46 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 00:37:46 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (c2116ca3-f0a0-43be-ad06-7dd02d1f7d0e)] -> id: search-form__submit-btn]
2015-09-12 00:38:32 INFO  SearchPage:36 - Opening login page
2015-09-12 00:38:36 INFO  sortTest:34 - Checking that all correct data added successfully
2015-09-12 00:38:36 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (c4fac14f-329c-48f5-90c6-7d468f668ec3)] -> id: from_filter]
2015-09-12 00:38:36 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:38:36 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (c4fac14f-329c-48f5-90c6-7d468f668ec3)] -> id: to_filter]
2015-09-12 00:38:37 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 00:38:37 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (c4fac14f-329c-48f5-90c6-7d468f668ec3)] -> id: search-form__submit-btn]
2015-09-12 00:38:38 INFO  SearchPage:67 - clicking on sort: [[FirefoxDriver: firefox on WINDOWS (c4fac14f-329c-48f5-90c6-7d468f668ec3)] -> id: search-form__submit-btn] 
2015-09-12 00:39:22 INFO  SearchPage:36 - Opening login page
2015-09-12 00:39:26 INFO  sortTest:35 - Checking that all correct data added successfully
2015-09-12 00:39:26 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (615eb966-23a9-4dd1-b9c4-2fddcb85021b)] -> id: from_filter]
2015-09-12 00:39:26 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:39:26 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (615eb966-23a9-4dd1-b9c4-2fddcb85021b)] -> id: to_filter]
2015-09-12 00:39:27 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 00:39:27 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (615eb966-23a9-4dd1-b9c4-2fddcb85021b)] -> id: search-form__submit-btn]
2015-09-12 00:40:23 INFO  SearchPage:67 - clicking on sort: Proxy element for: org.openqa.selenium.support.pagefactory.DefaultElementLocator@305ffe9e 
2015-09-12 00:44:17 INFO  SearchPage:36 - Opening login page
2015-09-12 00:44:21 INFO  sortTest:35 - Checking that all correct data added successfully
2015-09-12 00:44:21 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (32b8bd73-40d5-48b4-b31b-0e556dfaa19e)] -> id: from_filter]
2015-09-12 00:44:21 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:44:21 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (32b8bd73-40d5-48b4-b31b-0e556dfaa19e)] -> id: to_filter]
2015-09-12 00:44:22 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 00:44:23 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (32b8bd73-40d5-48b4-b31b-0e556dfaa19e)] -> id: search-form__submit-btn]
2015-09-12 00:45:10 INFO  SearchPage:36 - Opening login page
2015-09-12 00:45:14 INFO  sortTest:35 - Checking that all correct data added successfully
2015-09-12 00:45:14 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (4fdf57e3-c074-4ef5-8570-3393fb5a8240)] -> id: from_filter]
2015-09-12 00:45:14 INFO  SearchPage:55 - entering from: Madrid, Spain 
